what,kind,bundleId,bundleVersion,description,time
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1318562345278
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318562709510
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318562741620
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318562744018
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318564837935
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318564838378
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318564847910
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318564848066
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1318564850234
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1318564851841
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1318564853698
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1318564854368
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1318564855242
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1318564856038
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1318564856755
closed,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318564858690
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.406.v200903031852,"org.eclipse.jst.ws.axis.creation.ui",1318564859470
