what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.frameworks,1.1.300.v200904160730,"org.eclipse.wst.common.frameworks",1319598094486
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.0.v200906080535,"org.eclipse.wst.common.project.facet.core",1319598094486
started,bundle,org.eclipse.wst.web,1.1.300.v200901261500,"org.eclipse.wst.web",1319598094505
os,sysinfo,,,"win32",1319598094512
arch,sysinfo,,,"x86",1319598094512
ws,sysinfo,,,"win32",1319598094512
locale,sysinfo,,,"vi_VN",1319598094512
processors,sysinfo,,,"4",1319598094512
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1319598094512
java.runtime.version,sysinfo,,,"1.6.0_26-b03",1319598094512
java.specification.name,sysinfo,,,"Java Platform API Specification",1319598094512
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1319598094512
java.specification.version,sysinfo,,,"1.6",1319598094512
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1319598094512
java.version,sysinfo,,,"1.6.0_26",1319598094512
java.vm.info,sysinfo,,,"mixed mode, sharing",1319598094512
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1319598094512
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1319598094512
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1319598094512
java.vm.specification.version,sysinfo,,,"1.0",1319598094512
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1319598094512
java.vm.version,sysinfo,,,"20.1-b02",1319598094512
started,bundle,org.eclipse.mylyn.commons.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.commons.ui",1319598094696
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.0.v200906080500,"org.eclipse.jst.common.project.facet.core",1319598094815
started,bundle,org.eclipse.mylyn.bugzilla.core,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1319598094988
